b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 01:54:37 +0000 2018',986060330987028481,116997133,b'Kathy Chadwell',"b'RT @_SemaHernandez_: Hey @DebraMessing where the fuck were you when #Flint, #NoDAPL, #Yemen, #TPP, #MassIncarceration #Deportation were hap\xe2\x80\xa6'"
b'Tue Apr 17 01:54:38 +0000 2018',986060333155577863,3303592042,b'J\xc3\x9aNIA  V SANTIAGO',b'RT @juniavsantiago: Meu seguran\xc3\xa7a.\n\n@BarackObama https://t.co/cGA9E25EDV'
b'Tue Apr 17 01:54:38 +0000 2018',986060333642145792,3150461624,b'Christopher G Roth',b'@TL2L2045 @CJPatruno @HillaryClinton Axion\xe2\x80\x99 you because I\xe2\x80\x99ve never had an interaction with anyone else who disagree\xe2\x80\xa6 https://t.co/2QHxUu77NK'
b'Tue Apr 17 01:54:41 +0000 2018',986060347680452608,984583386961506304,b'Topper',b'@DeeDeeRhinehart @brithume @BarackObama Can you please explain how those two things are similar ?'
b'Tue Apr 17 01:54:43 +0000 2018',986060356702425088,619338665,b'ValM',b'@T38_Driver @thehill @georgesoros @HillaryClinton @realDonaldTrump  https://t.co/uku0U1VNHt'
b'Tue Apr 17 01:54:44 +0000 2018',986060360200413185,1949711852,b'4Danes',"b'RT @seanhannity: Question for @GStephanopoulos, did @HillaryClinton break the law when she mishandled and destroyed classified, top secret,\xe2\x80\xa6'"
b'Tue Apr 17 01:54:45 +0000 2018',986060364096917504,49067992,b'Ruben Martinez',b'@GovMikeHuckabee @HillaryClinton has 22.4 mil.'
b'Tue Apr 17 01:54:45 +0000 2018',986060365183111168,979570973320998912,b'julesHatesTrump',b'@ajm0919 @DanaLathim @sherkatillion @HillaryClinton So are you trolls.'
b'Tue Apr 17 01:54:46 +0000 2018',986060366798053376,3041511895,b'LB Free to Be',b'RT @qanon76: RT This.\n\n#qanon https://t.co/QCPU3fFUIy'
b'Tue Apr 17 01:54:47 +0000 2018',986060370531020800,718080431493627904,b'Geraldine Steiner',b'RT @MarkYoungTruth: That should all the information anyone needs to decide on Comey\xe2\x80\x99s credibility https://t.co/ll5og7bQFB'
b'Tue Apr 17 01:54:53 +0000 2018',986060397802176512,427572789,b'Tom',b'RT @seanhannity: Another question @GStephanopoulos are you concerned your Pal @HillaryClinton paid a foreign national (Steele) for Russian\xe2\x80\xa6'
b'Tue Apr 17 01:54:52 +0000 2018',986060393436143617,984186541550469120,b'A',b'@raypjrone @Dragoness01 @VanWalker67 @JETBaby56 @Gotdamnitbobby @MAGAfkUSnowflak @MakeCAgr8 @blublizzard2018\xe2\x80\xa6 https://t.co/RsGT59b11g'
b'Tue Apr 17 01:54:56 +0000 2018',986060407839363072,823211321030217728,b'Michonne Dixon',"b'RT @seanhannity: Question for @GStephanopoulos, did @HillaryClinton break the law when she mishandled and destroyed classified, top secret,\xe2\x80\xa6'"
b'Tue Apr 17 01:54:56 +0000 2018',986060408736763904,814161693508964353,b'Myra',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 01:54:57 +0000 2018',986060415099523072,229390362,b'Bryan Newton \xf0\x9f\x8c\xb9',"b""RT @JordanChariton: Ed Schultz says @msnbc fired him for supporting @BernieSanders and that network president told him he couldn't broadcas\xe2\x80\xa6"""
b'Tue Apr 17 01:54:58 +0000 2018',986060416970297344,2559726747,b'Montana wolf poacher',b'RT @atensnut: Once again.... Comey is helping dig Hillary\xe2\x80\x99s grave Deeper.  This idiot doesn\xe2\x80\x99t know when to be quite.  His EGO is bigger tha\xe2\x80\xa6'
b'Tue Apr 17 01:54:58 +0000 2018',986060418346078208,2509156808,b'TinkThinks',"b'#HannityCohen  ,@seanhannity .@HillaryClinton  .@BarackObama  .@Comey  .@POTUS  .@IngrahamAngle  .@TheEllenShow .\xe2\x80\xa6 https://t.co/hjqrssbC9K'"
b'Tue Apr 17 01:55:00 +0000 2018',986060426998927360,40212578,b'Terry Turner',b'RT @PoliticalShort: Even more inappropriate is the fact that Comey drafted &amp; circulated a statement exonerating Hillary 2 months before the\xe2\x80\xa6'
